;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2025-06-01;;90503987202;;;;84191150923.0;74837714333.0;79398529282.0;Emp2
2025-07-01;;57214011660;;;;74471863457.0;75594351813.0;80492465645.0;Emp2
2025-08-01;;175953263100;;;;107890420654.0;90480828750.0;80370645796.0;Emp2
2025-09-01;;51372187859;;;;94846487540.0;89518819232.0;80929946186.0;Emp2
2025-10-01;;70028210268;;;;99117887076.0;86794875266.0;80845212314.0;Emp2
2025-11-01;;58441383991;;;;59947260706.0;83918840680.0;81536931979.0;Emp2
2025-12-01;;117482387765;;;;81983994008.0;88415240774.0;81626477553.0;Emp2
2026-01-01;;58896960217;;;;78273577324.0;88695732200.0;82145042006.0;Emp2
2026-02-01;;87472397686;;;;87950581889.0;73948921298.0;82214875024.0;Emp2
2026-03-01;;63182755779;;;;69850704561.0;75917349284.0;82718084258.0;Emp2
2026-04-01;;88454315350;;;;79703156272.0;78988366798.0;82891621032.0;Emp2
2026-05-01;;81145551189;;;;77594207439.0;82772394664.0;83345617672.0;Emp2
2026-06-01;;92613593312;;;;87404486617.0;78627595589.0;83521418181.0;Emp2
2026-07-01;;62223172511;;;;78660772337.0;79181964304.0;83938848252.0;Emp2
2026-08-01;;178624030334;;;;111153598719.0;94373903079.0;84161412188.0;Emp2
2026-09-01;;56171344095;;;;99006182313.0;93205334465.0;84561341875.0;Emp2
2026-10-01;;72855546844;;;;102550307091.0;90605539714.0;84796953256.0;Emp2
2026-11-01;;62933331888;;;;63986740942.0;87570169831.0;85171282248.0;Emp2
2026-12-01;;120552173137;;;;85447017290.0;92226599802.0;85427097695.0;Emp2
2027-01-01;;63266085979;;;;82250530335.0;92400418713.0;85791191509.0;Emp2
2027-02-01;;90689086025;;;;91502448380.0;77744594661.0;86059248870.0;Emp2
2027-03-01;;67381027924;;;;73778733309.0;79612875300.0;86409104882.0;Emp2
2027-04-01;;91788064164;;;;83286059371.0;82768294853.0;86686917284.0;Emp2
2027-05-01;;85256409955;;;;81475167348.0;86488807864.0;87029488847.0;Emp2
2027-06-01;;96047109480;;;;91030527866.0;82404630588.0;87315615195.0;Emp2
2027-07-01;;66243385146;;;;82515634860.0;82900847116.0;87650632914.0;Emp2
2027-08-01;;182123275219;;;;114804589948.0;98139878648.0;87942236655.0;Emp2
2027-09-01;;60131922282;;;;102832860882.0;96931694374.0;88272284837.0;Emp2
2027-10-01;;76414707523;;;;106223301675.0;94369468268.0;88568881560.0;Emp2
2027-11-01;;66844260881;;;;67796963562.0;91300776755.0;88894792310.0;Emp2
2027-12-01;;124151427922;;;;89136798775.0;95984829829.0;89194730208.0;Emp2
2028-01-01;;67139149157;;;;86044945987.0;96134123831.0;89517485473.0;Emp2
2028-02-01;;94322969595;;;;95204515558.0;81500739560.0;89820309104.0;Emp2
2028-03-01;;71225517270;;;;77562545341.0;83349672058.0;90140683216.0;Emp2
2028-04-01;;95446758904;;;;86998415256.0;86521680622.0;90445574444.0;Emp2
2028-05-01;;89077953294;;;;85250076489.0;90227296024.0;90764036389.0;Emp2
2028-06-01;;99725846887;;;;94750186362.0;86156365851.0;91070597840.0;Emp2
2028-07-01;;70047939369;;;;86283913183.0;86641164220.0;91387644025.0;Emp2
2028-08-01;;185817172617;;;;118530319624.0;101890198057.0;91695468808.0;Emp2
2028-09-01;;63922855297;;;;106595989094.0;100673087728.0;92011379893.0;Emp2
